Seq. ID.	Class	AMP Probability
RDKIT_SHAPRULEMATCH_00001	AMP	0.98
RDKIT_SHAPRULEMATCH_00002	AMP	0.98
RDKIT_SHAPRULEMATCH_00003	AMP	0.97
RDKIT_SHAPRULEMATCH_00004	AMP	0.98
RDKIT_SHAPRULEMATCH_00005	AMP	0.99
RDKIT_SHAPRULEMATCH_00006	AMP	0.98
RDKIT_SHAPRULEMATCH_00007	AMP	0.99
RDKIT_SHAPRULEMATCH_00008	AMP	0.98
RDKIT_SHAPRULEMATCH_00009	AMP	0.99
RDKIT_SHAPRULEMATCH_00010	AMP	0.98
RDKIT_SHAPRULEMATCH_00011	AMP	1.00
RDKIT_SHAPRULEMATCH_00012	AMP	0.99
RDKIT_SHAPRULEMATCH_00013	AMP	0.97
RDKIT_SHAPRULEMATCH_00014	AMP	0.89
RDKIT_SHAPRULEMATCH_00015	AMP	0.95
RDKIT_SHAPRULEMATCH_00016	AMP	0.97
RDKIT_SHAPRULEMATCH_00017	AMP	0.96
RDKIT_SHAPRULEMATCH_00018	AMP	0.98
RDKIT_SHAPRULEMATCH_00019	AMP	0.98
RDKIT_SHAPRULEMATCH_00020	AMP	0.99
RDKIT_SHAPRULEMATCH_00021	AMP	0.98
RDKIT_SHAPRULEMATCH_00022	AMP	0.97
RDKIT_SHAPRULEMATCH_00023	AMP	0.99
RDKIT_SHAPRULEMATCH_00024	AMP	0.98
RDKIT_SHAPRULEMATCH_00025	AMP	0.97
RDKIT_SHAPRULEMATCH_00026	AMP	0.99
RDKIT_SHAPRULEMATCH_00027	AMP	0.99
RDKIT_SHAPRULEMATCH_00028	AMP	1.00
RDKIT_SHAPRULEMATCH_00029	AMP	0.98
RDKIT_SHAPRULEMATCH_00030	AMP	0.99
RDKIT_SHAPRULEMATCH_00031	AMP	0.98
RDKIT_SHAPRULEMATCH_00032	AMP	1.00
RDKIT_SHAPRULEMATCH_00033	AMP	1.00
RDKIT_SHAPRULEMATCH_00034	AMP	0.95
RDKIT_SHAPRULEMATCH_00035	AMP	0.98
RDKIT_SHAPRULEMATCH_00036	AMP	1.00
RDKIT_SHAPRULEMATCH_00037	AMP	0.98
RDKIT_SHAPRULEMATCH_00038	AMP	0.99
RDKIT_SHAPRULEMATCH_00039	AMP	0.99
RDKIT_SHAPRULEMATCH_00040	AMP	0.98
RDKIT_SHAPRULEMATCH_00041	AMP	0.99
RDKIT_SHAPRULEMATCH_00042	AMP	0.99
RDKIT_SHAPRULEMATCH_00043	AMP	0.99
RDKIT_SHAPRULEMATCH_00044	AMP	0.97
RDKIT_SHAPRULEMATCH_00045	AMP	0.99
RDKIT_SHAPRULEMATCH_00046	AMP	0.98
RDKIT_SHAPRULEMATCH_00047	AMP	1.00
RDKIT_SHAPRULEMATCH_00048	AMP	0.99
RDKIT_SHAPRULEMATCH_00049	AMP	0.97
RDKIT_SHAPRULEMATCH_00050	AMP	0.99
RDKIT_SHAPRULEMATCH_00051	AMP	0.99
RDKIT_SHAPRULEMATCH_00052	AMP	0.98
RDKIT_SHAPRULEMATCH_00053	AMP	0.98
RDKIT_SHAPRULEMATCH_00054	AMP	0.99
RDKIT_SHAPRULEMATCH_00055	AMP	0.99
RDKIT_SHAPRULEMATCH_00056	AMP	0.99
RDKIT_SHAPRULEMATCH_00057	AMP	0.93
RDKIT_SHAPRULEMATCH_00058	AMP	0.99
RDKIT_SHAPRULEMATCH_00059	AMP	0.99
RDKIT_SHAPRULEMATCH_00060	AMP	0.98
RDKIT_SHAPRULEMATCH_00061	AMP	0.98
RDKIT_SHAPRULEMATCH_00062	AMP	0.99
RDKIT_SHAPRULEMATCH_00063	AMP	0.99
RDKIT_SHAPRULEMATCH_00064	AMP	0.98
RDKIT_SHAPRULEMATCH_00065	AMP	1.00
RDKIT_SHAPRULEMATCH_00066	AMP	1.00
RDKIT_SHAPRULEMATCH_00067	AMP	0.97
RDKIT_SHAPRULEMATCH_00068	AMP	0.89
RDKIT_SHAPRULEMATCH_00069	AMP	0.95
RDKIT_SHAPRULEMATCH_00070	AMP	0.98
RDKIT_SHAPRULEMATCH_00071	AMP	0.98
RDKIT_SHAPRULEMATCH_00072	AMP	0.99
RDKIT_SHAPRULEMATCH_00073	AMP	0.92
RDKIT_SHAPRULEMATCH_00074	AMP	0.99
RDKIT_SHAPRULEMATCH_00075	AMP	1.00
RDKIT_SHAPRULEMATCH_00076	AMP	0.99
RDKIT_SHAPRULEMATCH_00077	AMP	0.99
RDKIT_SHAPRULEMATCH_00078	AMP	0.97
RDKIT_SHAPRULEMATCH_00079	AMP	0.99
RDKIT_SHAPRULEMATCH_00080	AMP	0.99
RDKIT_SHAPRULEMATCH_00081	AMP	0.99
RDKIT_SHAPRULEMATCH_00082	AMP	0.99
RDKIT_SHAPRULEMATCH_00083	AMP	0.99
RDKIT_SHAPRULEMATCH_00084	AMP	0.98
RDKIT_SHAPRULEMATCH_00085	AMP	0.99
RDKIT_SHAPRULEMATCH_00086	AMP	1.00
RDKIT_SHAPRULEMATCH_00087	AMP	0.99
RDKIT_SHAPRULEMATCH_00088	AMP	1.00
RDKIT_SHAPRULEMATCH_00089	AMP	0.98
RDKIT_SHAPRULEMATCH_00090	AMP	0.99
RDKIT_SHAPRULEMATCH_00091	AMP	0.99
RDKIT_SHAPRULEMATCH_00092	AMP	0.99
RDKIT_SHAPRULEMATCH_00093	AMP	0.98
RDKIT_SHAPRULEMATCH_00094	AMP	1.00
RDKIT_SHAPRULEMATCH_00095	AMP	0.99
RDKIT_SHAPRULEMATCH_00096	AMP	1.00
RDKIT_SHAPRULEMATCH_00097	AMP	0.99
RDKIT_SHAPRULEMATCH_00098	AMP	0.99
RDKIT_SHAPRULEMATCH_00099	AMP	0.99
RDKIT_SHAPRULEMATCH_00100	AMP	0.97
RDKIT_SHAPRULEMATCH_00101	AMP	0.99
RDKIT_SHAPRULEMATCH_00102	AMP	0.99
RDKIT_SHAPRULEMATCH_00103	AMP	0.99
RDKIT_SHAPRULEMATCH_00104	AMP	0.89
RDKIT_SHAPRULEMATCH_00105	AMP	0.98
RDKIT_SHAPRULEMATCH_00106	AMP	1.00
RDKIT_SHAPRULEMATCH_00107	AMP	1.00
RDKIT_SHAPRULEMATCH_00108	AMP	0.99
RDKIT_SHAPRULEMATCH_00109	AMP	1.00
RDKIT_SHAPRULEMATCH_00110	AMP	1.00
RDKIT_SHAPRULEMATCH_00111	AMP	0.94
RDKIT_SHAPRULEMATCH_00112	AMP	0.97
RDKIT_SHAPRULEMATCH_00113	AMP	0.98
RDKIT_SHAPRULEMATCH_00114	AMP	0.99
RDKIT_SHAPRULEMATCH_00115	AMP	0.97
RDKIT_SHAPRULEMATCH_00116	AMP	0.97
RDKIT_SHAPRULEMATCH_00117	AMP	0.98
RDKIT_SHAPRULEMATCH_00118	AMP	0.99
RDKIT_SHAPRULEMATCH_00119	AMP	1.00
RDKIT_SHAPRULEMATCH_00120	AMP	0.96
RDKIT_SHAPRULEMATCH_00121	AMP	0.99
RDKIT_SHAPRULEMATCH_00122	AMP	1.00
RDKIT_SHAPRULEMATCH_00123	AMP	0.96
RDKIT_SHAPRULEMATCH_00124	AMP	0.98
RDKIT_SHAPRULEMATCH_00125	AMP	0.99
RDKIT_SHAPRULEMATCH_00126	AMP	0.99
RDKIT_SHAPRULEMATCH_00127	AMP	1.00
RDKIT_SHAPRULEMATCH_00128	AMP	0.99
RDKIT_SHAPRULEMATCH_00129	AMP	0.99
RDKIT_SHAPRULEMATCH_00130	AMP	0.98
RDKIT_SHAPRULEMATCH_00131	AMP	0.98
RDKIT_SHAPRULEMATCH_00132	AMP	1.00
RDKIT_SHAPRULEMATCH_00133	AMP	0.97
RDKIT_SHAPRULEMATCH_00134	AMP	0.97
RDKIT_SHAPRULEMATCH_00135	AMP	0.96
RDKIT_SHAPRULEMATCH_00136	AMP	1.00
RDKIT_SHAPRULEMATCH_00137	AMP	0.98
RDKIT_SHAPRULEMATCH_00138	AMP	0.98
RDKIT_SHAPRULEMATCH_00139	AMP	0.99
RDKIT_SHAPRULEMATCH_00140	AMP	1.00
RDKIT_SHAPRULEMATCH_00141	AMP	0.99
RDKIT_SHAPRULEMATCH_00142	AMP	0.98
RDKIT_SHAPRULEMATCH_00143	AMP	0.98
RDKIT_SHAPRULEMATCH_00144	AMP	0.99
RDKIT_SHAPRULEMATCH_00145	AMP	0.92
RDKIT_SHAPRULEMATCH_00146	AMP	0.95
RDKIT_SHAPRULEMATCH_00147	AMP	0.95
RDKIT_SHAPRULEMATCH_00148	AMP	0.99
RDKIT_SHAPRULEMATCH_00149	AMP	0.99
RDKIT_SHAPRULEMATCH_00150	AMP	0.99
RDKIT_SHAPRULEMATCH_00151	AMP	0.98
RDKIT_SHAPRULEMATCH_00152	AMP	0.97
RDKIT_SHAPRULEMATCH_00153	AMP	0.99
RDKIT_SHAPRULEMATCH_00154	AMP	0.99
RDKIT_SHAPRULEMATCH_00155	AMP	0.96
RDKIT_SHAPRULEMATCH_00156	AMP	0.99
RDKIT_SHAPRULEMATCH_00157	AMP	0.99
RDKIT_SHAPRULEMATCH_00158	AMP	1.00
RDKIT_SHAPRULEMATCH_00159	AMP	1.00
RDKIT_SHAPRULEMATCH_00160	AMP	0.99
RDKIT_SHAPRULEMATCH_00161	AMP	0.97
RDKIT_SHAPRULEMATCH_00162	AMP	0.98
RDKIT_SHAPRULEMATCH_00163	AMP	0.99
RDKIT_SHAPRULEMATCH_00164	AMP	0.99
RDKIT_SHAPRULEMATCH_00165	AMP	0.99
RDKIT_SHAPRULEMATCH_00166	AMP	0.93
RDKIT_SHAPRULEMATCH_00167	AMP	0.99
