Seq. ID.	Class	AMP Probability
RDKIT_SHAPRULEMISMATCH_00001	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00002	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00003	NAMP	0.45
RDKIT_SHAPRULEMISMATCH_00004	AMP	0.81
RDKIT_SHAPRULEMISMATCH_00005	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00006	NAMP	0.27
RDKIT_SHAPRULEMISMATCH_00007	AMP	0.85
RDKIT_SHAPRULEMISMATCH_00008	NAMP	0.24
RDKIT_SHAPRULEMISMATCH_00009	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00010	NAMP	0.36
RDKIT_SHAPRULEMISMATCH_00011	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00012	AMP	0.73
RDKIT_SHAPRULEMISMATCH_00013	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00014	NAMP	0.23
RDKIT_SHAPRULEMISMATCH_00015	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00016	NAMP	0.32
RDKIT_SHAPRULEMISMATCH_00017	AMP	0.64
RDKIT_SHAPRULEMISMATCH_00018	NAMP	0.17
RDKIT_SHAPRULEMISMATCH_00019	NAMP	0.36
RDKIT_SHAPRULEMISMATCH_00020	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00021	NAMP	0.16
RDKIT_SHAPRULEMISMATCH_00022	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00023	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00024	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00025	AMP	0.61
RDKIT_SHAPRULEMISMATCH_00026	AMP	1.00
RDKIT_SHAPRULEMISMATCH_00027	AMP	0.88
RDKIT_SHAPRULEMISMATCH_00028	AMP	0.94
RDKIT_SHAPRULEMISMATCH_00029	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00030	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00031	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00032	NAMP	0.42
RDKIT_SHAPRULEMISMATCH_00033	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00034	NAMP	0.12
RDKIT_SHAPRULEMISMATCH_00035	AMP	0.91
RDKIT_SHAPRULEMISMATCH_00036	AMP	0.98
RDKIT_SHAPRULEMISMATCH_00037	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00038	NAMP	0.17
RDKIT_SHAPRULEMISMATCH_00039	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00040	AMP	0.51
RDKIT_SHAPRULEMISMATCH_00041	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00042	AMP	0.57
RDKIT_SHAPRULEMISMATCH_00043	AMP	0.56
RDKIT_SHAPRULEMISMATCH_00044	AMP	0.93
RDKIT_SHAPRULEMISMATCH_00045	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00046	NAMP	0.29
RDKIT_SHAPRULEMISMATCH_00047	NAMP	0.43
RDKIT_SHAPRULEMISMATCH_00048	AMP	0.92
RDKIT_SHAPRULEMISMATCH_00049	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00050	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00051	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00052	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00053	NAMP	0.43
RDKIT_SHAPRULEMISMATCH_00054	NAMP	0.24
RDKIT_SHAPRULEMISMATCH_00055	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00056	AMP	0.91
RDKIT_SHAPRULEMISMATCH_00057	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00058	AMP	0.87
RDKIT_SHAPRULEMISMATCH_00059	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00060	AMP	0.74
RDKIT_SHAPRULEMISMATCH_00061	AMP	0.81
RDKIT_SHAPRULEMISMATCH_00062	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00063	NAMP	0.27
RDKIT_SHAPRULEMISMATCH_00064	AMP	0.95
RDKIT_SHAPRULEMISMATCH_00065	NAMP	0.16
RDKIT_SHAPRULEMISMATCH_00066	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00067	NAMP	0.46
RDKIT_SHAPRULEMISMATCH_00068	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00069	AMP	0.66
RDKIT_SHAPRULEMISMATCH_00070	NAMP	0.11
RDKIT_SHAPRULEMISMATCH_00071	AMP	0.85
RDKIT_SHAPRULEMISMATCH_00072	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00073	AMP	0.99
RDKIT_SHAPRULEMISMATCH_00074	NAMP	0.14
RDKIT_SHAPRULEMISMATCH_00075	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00076	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00077	NAMP	0.29
RDKIT_SHAPRULEMISMATCH_00078	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00079	NAMP	0.26
RDKIT_SHAPRULEMISMATCH_00080	NAMP	0.38
RDKIT_SHAPRULEMISMATCH_00081	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00082	NAMP	0.02
RDKIT_SHAPRULEMISMATCH_00083	NAMP	0.12
RDKIT_SHAPRULEMISMATCH_00084	AMP	0.66
RDKIT_SHAPRULEMISMATCH_00085	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00086	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00087	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00088	AMP	0.64
RDKIT_SHAPRULEMISMATCH_00089	NAMP	0.10
RDKIT_SHAPRULEMISMATCH_00090	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00091	NAMP	0.44
RDKIT_SHAPRULEMISMATCH_00092	AMP	0.60
RDKIT_SHAPRULEMISMATCH_00093	NAMP	0.09
RDKIT_SHAPRULEMISMATCH_00094	NAMP	0.06
RDKIT_SHAPRULEMISMATCH_00095	NAMP	0.16
RDKIT_SHAPRULEMISMATCH_00096	AMP	0.97
RDKIT_SHAPRULEMISMATCH_00097	NAMP	0.46
RDKIT_SHAPRULEMISMATCH_00098	NAMP	0.13
RDKIT_SHAPRULEMISMATCH_00099	NAMP	0.22
RDKIT_SHAPRULEMISMATCH_00100	AMP	0.58
RDKIT_SHAPRULEMISMATCH_00101	NAMP	0.26
RDKIT_SHAPRULEMISMATCH_00102	AMP	0.95
RDKIT_SHAPRULEMISMATCH_00103	NAMP	0.08
RDKIT_SHAPRULEMISMATCH_00104	NAMP	0.24
RDKIT_SHAPRULEMISMATCH_00105	NAMP	0.26
RDKIT_SHAPRULEMISMATCH_00106	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00107	NAMP	0.17
RDKIT_SHAPRULEMISMATCH_00108	NAMP	0.27
RDKIT_SHAPRULEMISMATCH_00109	AMP	0.78
RDKIT_SHAPRULEMISMATCH_00110	AMP	0.83
RDKIT_SHAPRULEMISMATCH_00111	NAMP	0.20
RDKIT_SHAPRULEMISMATCH_00112	NAMP	0.18
RDKIT_SHAPRULEMISMATCH_00113	AMP	0.60
RDKIT_SHAPRULEMISMATCH_00114	NAMP	0.07
RDKIT_SHAPRULEMISMATCH_00115	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00116	NAMP	0.05
RDKIT_SHAPRULEMISMATCH_00117	NAMP	0.03
RDKIT_SHAPRULEMISMATCH_00118	NAMP	0.04
RDKIT_SHAPRULEMISMATCH_00119	AMP	0.97
